id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,default_product,variant
wc_post_id_1027,"VESTIDO GREENGIRL $399","VESTIDO GREENGIRL $399 
 
Talla: M",https://georginasj.com/tienda/wp-content/uploads/2020/07/hoy-12.png,https://georginasj.com/tienda/producto/vestido-greengirl-399/,"REBAJAS VESTIDOS $350-$399","GeorginaSJ",650MXN,in stock,wc_post_id_1027,https://georginasj.com/tienda/carrito/?add-to-cart=1027,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,399MXN,new,published,,
wc_post_id_1026,"VESTIDO VERDEGIRL $399","VESTIDO VERDEGIRL $399 
 
Talla: S-M",https://georginasj.com/tienda/wp-content/uploads/2020/07/hoy-11.png,https://georginasj.com/tienda/producto/vestido-verdegirl-399/,"REBAJAS VESTIDOS $350-$399","GeorginaSJ",650MXN,in stock,wc_post_id_1026,https://georginasj.com/tienda/carrito/?add-to-cart=1026,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,399MXN,new,published,,
wc_post_id_1025,"VESTIDO REDGIRL NEW72 $399","VESTIDO REDGIRL NEW72 $399 
 
Talla: S",https://georginasj.com/tienda/wp-content/uploads/2020/07/hoy-10.png,https://georginasj.com/tienda/producto/vestido-redgirl-new72-399/,"REBAJAS VESTIDOS $350-$399","GeorginaSJ",650MXN,in stock,wc_post_id_1025,https://georginasj.com/tienda/carrito/?add-to-cart=1025,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,399MXN,new,published,,
wc_post_id_1024,"VESTIDO NEGROGIRL NEW87 $399","VESTIDO NEGROGIRL NEW87 $399 
 
Talla: M",https://georginasj.com/tienda/wp-content/uploads/2020/07/hoy-14.png,https://georginasj.com/tienda/producto/vestido-negrogirl-new87-399/,"REBAJAS VESTIDOS $350-$399","GeorginaSJ",550MXN,in stock,wc_post_id_1024,https://georginasj.com/tienda/carrito/?add-to-cart=1024,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,399MXN,new,published,,
wc_post_id_1023,"VESTIDO ROJOGIRL NEW02 $399","VESTIDO ROJOGIRL NEW02 $399 
 
Talla: M",https://georginasj.com/tienda/wp-content/uploads/2020/07/hoy-9.png,https://georginasj.com/tienda/producto/vestido-rojogirl-new02-399/,"REBAJAS VESTIDOS $350-$399","GeorginaSJ",650MXN,in stock,wc_post_id_1023,https://georginasj.com/tienda/carrito/?add-to-cart=1023,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,399MXN,new,published,,
wc_post_id_1022,"VESTIDO NEGROGIRL NEW22 $399","VESTIDO NEGROGIRL NEW22 $399 
 
Talla: S",https://georginasj.com/tienda/wp-content/uploads/2020/07/hoy-15.png,https://georginasj.com/tienda/producto/vestido-negrogirl-new22-399/,"REBAJAS VESTIDOS $350-$399","GeorginaSJ",550MXN,in stock,wc_post_id_1022,https://georginasj.com/tienda/carrito/?add-to-cart=1022,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,399MXN,new,published,,
wc_post_id_1021,"VESTIDO REDGIRL NEW23 $399","VESTIDO REDGIRL NEW23 $399 
 
Talla: M",https://georginasj.com/tienda/wp-content/uploads/2020/07/hoy-8.png,https://georginasj.com/tienda/producto/vestido-redgirl-new23-399/,"REBAJAS VESTIDOS $350-$399","GeorginaSJ",600MXN,in stock,wc_post_id_1021,https://georginasj.com/tienda/carrito/?add-to-cart=1021,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,399MXN,new,published,,
wc_post_id_1020,"VESTIDO NEGRO/BLANCO $399","VESTIDO NEGRO/BLANCO $399 
 
Talla: M-L",https://georginasj.com/tienda/wp-content/uploads/2020/07/hoy-5.png,https://georginasj.com/tienda/producto/vestido-negro-blanco-399/,"REBAJAS VESTIDOS $350-$399","GeorginaSJ",650MXN,in stock,wc_post_id_1020,https://georginasj.com/tienda/carrito/?add-to-cart=1020,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,399MXN,new,published,,
wc_post_id_1019,"VESTIDO UVA $399","VESTIDO UVA $399 
 
Talla: S-M",https://georginasj.com/tienda/wp-content/uploads/2020/07/hoy-4.png,https://georginasj.com/tienda/producto/vestido-uva-399/,"REBAJAS VESTIDOS $350-$399","GeorginaSJ",580MXN,in stock,wc_post_id_1019,https://georginasj.com/tienda/carrito/?add-to-cart=1019,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,399MXN,new,published,,
wc_post_id_1018,"VESTIDO NEGRO $399","VESTIDO NEGRO $399 
 
Talla: S",https://georginasj.com/tienda/wp-content/uploads/2020/07/hoy-16.png,https://georginasj.com/tienda/producto/vestido-negro-399/,"REBAJAS VESTIDOS $350-$399","GeorginaSJ",580MXN,in stock,wc_post_id_1018,https://georginasj.com/tienda/carrito/?add-to-cart=1018,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,399MXN,new,published,,
wc_post_id_1017,"VESTIDO ROSA00 $399","VESTIDO ROSA00 $399 
 
Talla: M",https://georginasj.com/tienda/wp-content/uploads/2020/07/hoy-17.png,https://georginasj.com/tienda/producto/vestido-rosa00-399/,"REBAJAS VESTIDOS $350-$399","GeorginaSJ",650MXN,in stock,wc_post_id_1017,https://georginasj.com/tienda/carrito/?add-to-cart=1017,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,399MXN,new,published,,
wc_post_id_1016,"VESTIDO ROJO $399","VESTIDO ROJO $399 
 
Talla: M",https://georginasj.com/tienda/wp-content/uploads/2020/07/hoy-18.png,https://georginasj.com/tienda/producto/vestido-rojo-399/,"REBAJAS VESTIDOS $350-$399","GeorginaSJ",550MXN,in stock,wc_post_id_1016,https://georginasj.com/tienda/carrito/?add-to-cart=1016,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,350MXN,new,published,,
